49.5 100 200 300 400 
49.6 100 200 300 400 
49.7 100 200 300 400 
49.8 100 200 300 400 
49.9 100 200 300 400 
50 100 200 300 400 
50.1 100 200 300 400 
50.2 100 200 300 400 
50.3 100 200 300 400 
50.4 100 200 300 400 
50.5 100 200 300 400 
50.6 100 200 300 400 
50.7 100 200 300 400 
50.8 100 200 300 400 
50.9 100 200 300 400 
51 100 200 300 400 
51.1 100 200 300 400 
51.2 100 200 300 400 
51.3 100 200 300 400 
51.4 100 200 300 400 
51.5 100 200 300 400 
51.6 100 200 300 400 
51.7 100 200 300 400 
51.8 100 200 300 400 
51.9 100 200 300 400 
52 100 200 300 400 
52.1 100 200 300 400 
52.2 100 200 300 400 
52.3 100 200 300 400 
52.4 100 200 300 400 
52.5 100 200 300 400 
52.6 100 200 300 400 
52.7 100 200 300 400 
52.8 100 200 300 400 
52.9 100 200 300 400 
53 100 200 300 400 
53.1 100 200 300 400 
53.2 100 200 300 400 
53.3 100 200 300 400 
53.4 100 200 300 400 
53.5 100 200 300 400 
53.6 100 200 300 400 
53.7 100 200 300 400 
53.8 100 200 300 400 
53.9 100 200 300 400 
54 100 200 300 400 
54.1 100 200 300 400 
54.2 100 200 300 400 
54.3 100 200 300 400 
54.4 100 200 300 400 
54.5 100 200 300 400 
54.6 100 200 300 400 
54.7 100 200 300 400 
54.8 100 200 300 400 
54.9 100 200 300 400 
55 100 200 300 400 
55.1 100 200 300 400 
55.2 100 200 300 400 
55.3 100 200 300 400 
55.4 100 200 300 400 
55.5 100 200 300 400 
55.6 100 200 300 400 
55.7 100 200 300 400 
55.8 100 200 300 400 
55.9 100 200 300 400 
56 100 200 300 400 
56.1 100 200 300 400 
56.2 100 200 300 400 
56.3 100 200 300 400 
56.4 100 200 300 400 
56.5 100 200 300 400 
56.6 100 200 300 400 
56.7 100 200 300 400 
56.8 100 200 300 400 
56.9 100 200 300 400 
57 100 200 300 400 
57.1 100 200 300 400 
57.2 100 200 300 400 
57.3 100 200 300 400 
57.4 100 200 300 400 
57.5 100 200 300 400 
57.6 100 200 300 400 
57.7 100 200 300 400 
57.8 100 200 300 400 
57.9 100 200 300 400 
58 100 200 300 400 
58.1 100 200 300 400 
58.2 100 200 300 400 
58.3 100 200 300 400 
58.4 100 200 300 400 
58.5 100 200 300 400 
58.6 100 200 300 400 
58.7 100 200 300 400 
58.8 100 200 300 400 
58.9 100 200 300 400 
59 100 200 300 400 
59.1 100 200 300 400 
59.2 100 200 300 400 
59.3 100 200 300 400 
59.4 100 200 300 400 
59.5 100 200 300 400 
59.6 100 200 300 400 
59.7 100 200 300 400 
59.8 100 200 300 400 
59.9 100 200 300 400 
60 100 200 300 400 
60.1 100 200 300 400 
60.2 100 200 300 400 
60.3 100 200 300 400 
60.4 100 200 300 400 
60.5 100 200 300 400 
60.6 100 200 300 400 
60.7 100 200 300 400 
60.8 100 200 300 400 
60.9 100 200 300 400 
61 100 200 300 400 
61.1 100 200 300 400 
61.2 100 200 300 400 
61.3 100 200 300 400 
61.4 100 200 300 400 
61.5 100 200 300 400 
61.6 100 200 300 400 
61.7 100 200 300 400 
61.8 100 200 300 400 
61.9 100 200 300 400 
62 100 200 300 400 
62.1 100 200 300 400 
62.2 100 200 300 400 
62.3 100 200 300 400 
62.4 100 200 300 400 
62.5 100 200 300 400 
62.6 100 200 300 400 
62.7 100 200 300 400 
62.8 100 200 300 400 
62.9 100 200 300 400 
63 100 200 300 400 
63.1 100 200 300 400 
63.2 100 200 300 400 
63.3 100 200 300 400 
63.4 100 200 300 400 
63.5 100 200 300 400 
63.6 100 200 300 400 
63.7 100 200 300 400 
63.8 100 200 300 400 
63.9 100 200 300 400 
64 100 200 300 400 
64.1 100 200 300 400 
64.2 100 200 300 400 
64.3 100 200 300 400 
64.4 100 200 300 400 
64.5 100 200 300 400 
64.6 100 200 300 400 
64.7 100 200 300 400 
64.8 100 200 300 400 
64.9 100 200 300 400 
65 100 200 300 400 
65.1 100 200 300 400 
65.2 100 200 300 400 
65.3 100 200 300 400 
65.4 100 200 300 400 
65.5 100 200 300 400 
65.6 100 200 300 400 
65.7 100 200 300 400 
65.8 100 200 300 400 
65.9 100 200 300 400 
66 100 200 300 400 
66.1 100 200 300 400 
66.2 100 200 300 400 
