timestamp Sensor_01 Sensor_02 Cluster_02
104.2000000000 0.1467658816 0.8532341184 1.0000000000
104.3000000000 0.1467658816 0.8532341184 1.0000000000
104.4000000000 0.1467658816 0.8532341184 1.0000000000
104.5000000000 0.1467658816 0.8532341184 1.0000000000
104.6000000000 0.1467658816 0.8532341184 1.0000000000
104.7000000000 0.1467658816 0.8532341184 1.0000000000
104.8000000000 0.1467658816 0.8532341184 1.0000000000
104.9000000000 0.1467658816 0.8532341184 1.0000000000
105.0000000000 0.1467658816 0.8532341184 1.0000000000
105.1000000000 0.1467658816 0.8532341184 1.0000000000
105.2000000000 0.1467658816 0.8532341184 1.0000000000
105.3000000000 0.1467658816 0.8532341184 1.0000000000
105.4000000000 0.1467658816 0.8532341184 1.0000000000
105.5000000000 0.1467658816 0.8532341184 1.0000000000
105.6000000000 0.1467658816 0.8532341184 1.0000000000
105.7000000000 0.1467658816 0.8532341184 1.0000000000
105.8000000000 0.1467658816 0.8532341184 1.0000000000
105.9000000000 0.1467658816 0.8532341184 1.0000000000
106.0000000000 0.1467658816 0.8532341184 1.0000000000
106.1000000000 0.1467658816 0.8532341184 1.0000000000
106.2000000000 0.1467658816 0.8532341184 1.0000000000
106.3000000000 0.1467658816 0.8532341184 1.0000000000
106.4000000000 0.1467658816 0.8532341184 1.0000000000
106.5000000000 0.1467658816 0.8532341184 1.0000000000
106.6000000000 0.1467658816 0.8532341184 1.0000000000
106.7000000000 0.1467658816 0.8532341184 1.0000000000
106.8000000000 0.1467658816 0.8532341184 1.0000000000
106.9000000000 0.1467658816 0.8532341184 1.0000000000
107.0000000000 0.1467658816 0.8532341184 1.0000000000
107.1000000000 0.1467658816 0.8532341184 1.0000000000
107.2000000000 0.1467658816 0.8532341184 1.0000000000
107.3000000000 0.1467658816 0.8532341184 1.0000000000
107.4000000000 0.1467658816 0.8532341184 1.0000000000
107.5000000000 0.1467658816 0.8532341184 1.0000000000
107.6000000000 0.1467658816 0.8532341184 1.0000000000
107.7000000000 0.1467658816 0.8532341184 1.0000000000
107.8000000000 0.1467658816 0.8532341184 1.0000000000
107.9000000000 0.1467658816 0.8532341184 1.0000000000
108.0000000000 0.1467658816 0.8532341184 1.0000000000
108.1000000000 0.1467658816 0.8532341184 1.0000000000
108.2000000000 0.1467658816 0.8532341184 1.0000000000
108.3000000000 0.1467658816 0.8532341184 1.0000000000
108.4000000000 0.1467658816 0.8532341184 1.0000000000
108.5000000000 0.1467658816 0.8532341184 1.0000000000
108.6000000000 0.1467658816 0.8532341184 1.0000000000
108.7000000000 0.1467658816 0.8532341184 1.0000000000
108.8000000000 0.1467658816 0.8532341184 1.0000000000
108.9000000000 0.1467658816 0.8532341184 1.0000000000
109.0000000000 0.1467658816 0.8532341184 1.0000000000
109.1000000000 0.1467658816 0.8532341184 1.0000000000
109.2000000000 0.1467658816 0.8532341184 1.0000000000
109.3000000000 0.1467658816 0.8532341184 1.0000000000
109.4000000000 0.1467658816 0.8532341184 1.0000000000
109.5000000000 0.1467658816 0.8532341184 1.0000000000
109.6000000000 0.1467658816 0.8532341184 1.0000000000
109.7000000000 0.1467658816 0.8532341184 1.0000000000
109.8000000000 0.1467658816 0.8532341184 1.0000000000
109.9000000000 0.1467658816 0.8532341184 1.0000000000
110.0000000000 0.1467658816 0.8532341184 1.0000000000
110.1000000000 0.1467658816 0.8532341184 1.0000000000
110.2000000000 0.1467658816 0.8532341184 1.0000000000
110.3000000000 0.1467658816 0.8532341184 1.0000000000
110.4000000000 0.1467658816 0.8532341184 1.0000000000
110.5000000000 0.1467658816 0.8532341184 1.0000000000
110.6000000000 0.1467658816 0.8532341184 1.0000000000
110.7000000000 0.1467658816 0.8532341184 1.0000000000
110.8000000000 0.1467658816 0.8532341184 1.0000000000
110.9000000000 0.1467658816 0.8532341184 1.0000000000
111.0000000000 0.1467658816 0.8532341184 1.0000000000
111.1000000000 0.1467658816 0.8532341184 1.0000000000
111.2000000000 0.1467658816 0.8532341184 1.0000000000
111.3000000000 0.1467658816 0.8532341184 1.0000000000
111.4000000000 0.1467658816 0.8532341184 1.0000000000
111.5000000000 0.1467658816 0.8532341184 1.0000000000
111.6000000000 0.1467658816 0.8532341184 1.0000000000
111.7000000000 0.1467658816 0.8532341184 1.0000000000
111.8000000000 0.1467658816 0.8532341184 1.0000000000
111.9000000000 0.1467658816 0.8532341184 1.0000000000
112.0000000000 0.1467658816 0.8532341184 1.0000000000
112.1000000000 0.1467658816 0.8532341184 1.0000000000
112.2000000000 0.1467658816 0.8532341184 1.0000000000
112.3000000000 0.1467658816 0.8532341184 1.0000000000
112.4000000000 0.1467658816 0.8532341184 1.0000000000
112.5000000000 0.1467658816 0.8532341184 1.0000000000
112.6000000000 0.1467658816 0.8532341184 1.0000000000
112.7000000000 0.1467658816 0.8532341184 1.0000000000
112.8000000000 0.1467658816 0.8532341184 1.0000000000
112.9000000000 0.1467658816 0.8532341184 1.0000000000
113.0000000000 0.1467658816 0.8532341184 1.0000000000
113.1000000000 0.1467658816 0.8532341184 1.0000000000
113.2000000000 0.1467658816 0.8532341184 1.0000000000
113.3000000000 0.1467658816 0.8532341184 1.0000000000
113.4000000000 0.1467658816 0.8532341184 1.0000000000
113.5000000000 0.1467658816 0.8532341184 1.0000000000
113.6000000000 0.1467658816 0.8532341184 1.0000000000
113.7000000000 0.1467658816 0.8532341184 1.0000000000
113.8000000000 0.1467658816 0.8532341184 1.0000000000
113.9000000000 0.1467658816 0.8532341184 1.0000000000
114.0000000000 0.1467658816 0.8532341184 1.0000000000
114.1000000000 0.1467658816 0.8532341184 1.0000000000
114.2000000000 0.1467658816 0.8532341184 1.0000000000
114.3000000000 0.1467658816 0.8532341184 1.0000000000
114.4000000000 0.1467658816 0.8532341184 1.0000000000
114.5000000000 0.1467658816 0.8532341184 1.0000000000
114.6000000000 0.1467658816 0.8532341184 1.0000000000
114.7000000000 0.1467658816 0.8532341184 1.0000000000
114.8000000000 0.1467658816 0.8532341184 1.0000000000
